"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"Apr 09, 2020,""11,620.00"",""11,605.00"",""11,660.00"",""11,590.00"",""9.06K"",""0.43%"""
"Apr 08, 2020,""11,570.00"",""11,535.00"",""11,630.00"",""11,525.00"",""11.81K"",""-0.69%"""
"Apr 07, 2020,""11,650.00"",""11,505.00"",""11,740.00"",""11,505.00"",""13.16K"",""0.82%"""
"Apr 03, 2020,""11,555.00"",""11,490.00"",""11,620.00"",""11,440.00"",""13.49K"",""2.03%"""
"Apr 02, 2020,""11,325.00"",""11,320.00"",""11,500.00"",""11,230.00"",""19.96K"",""-1.82%"""
"Apr 01, 2020,""11,535.00"",""11,545.00"",""11,620.00"",""11,450.00"",""12.32K"",""-0.17%"""
"Mar 31, 2020,""11,555.00"",""11,500.00"",""11,750.00"",""11,480.00"",""17.51K"",""0.04%"""
"Mar 30, 2020,""11,550.00"",""11,710.00"",""11,710.00"",""11,475.00"",""28.62K"",""-0.86%"""
"Mar 27, 2020,""11,650.00"",""11,620.00"",""11,750.00"",""11,545.00"",""20.16K"",""0.26%"""
"Mar 26, 2020,""11,620.00"",""11,690.00"",""11,690.00"",""11,540.00"",""22.77K"",""1.26%"""
"Mar 25, 2020,""11,475.00"",""11,410.00"",""11,700.00"",""11,365.00"",""31.29K"",""1.10%"""
"Mar 24, 2020,""11,350.00"",""11,450.00"",""11,450.00"",""11,285.00"",""20.78K"",""0.22%"""
"Mar 23, 2020,""11,325.00"",""11,730.00"",""11,730.00"",""11,235.00"",""22.09K"",""-4.95%"""
"Mar 20, 2020,""11,915.00"",""11,915.00"",""12,125.00"",""11,805.00"",""25.65K"",""0.00%"""
"Mar 19, 2020,""11,915.00"",""12,240.00"",""12,345.00"",""11,710.00"",""28.54K"",""-4.37%"""
"Mar 18, 2020,""12,460.00"",""12,690.00"",""12,690.00"",""12,155.00"",""42.02K"",""-1.74%"""
"Mar 17, 2020,""12,680.00"",""12,760.00"",""12,785.00"",""12,645.00"",""23.55K"",""-0.67%"""
"Mar 16, 2020,""12,765.00"",""12,860.00"",""12,860.00"",""12,345.00"",""5.54K"",""0.43%"""
"Mar 13, 2020,""12,710.00"",""12,720.00"",""13,000.00"",""12,650.00"",""12.70K"",""-0.31%"""
"Mar 12, 2020,""12,750.00"",""12,750.00"",""12,785.00"",""12,740.00"",""10.89K"",""-0.70%"""
